SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,REGION_RATING_CLIENT,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,FLOORSMAX_AVG,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_8,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
278989,0.0,0.0,0.0,0.0,6.0,3.0,4.0,5.0,1.0,8.0,1.0,57.0,2.0,0.0,4.0,0.0,-0.99,-0.7752548,-0.84586656,0.07482446,-1.1142149,148.30312,0.5419142,-0.32648313,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6246297,0.49138558,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.63271606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
208283,0.0,0.0,0.0,1.0,6.0,7.0,4.0,1.0,1.0,11.0,0.0,30.0,3.0,0.0,0.0,0.0,1.61,0.3907268,0.3264442,-0.7422415,0.22581533,-0.08336706,0.4024134,0.9918573,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.21776062,0.46106136,9.0,0.06,0.0833,-7.647059,3.0,1.0,1.0,-1.0277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
285926,0.0,0.0,0.0,1.0,6.0,7.0,4.0,1.0,1.0,8.0,2.0,42.0,2.0,0.0,4.0,0.0,-0.64,0.717477,0.08540837,0.40424505,-0.22457686,0.06475111,0.35085475,0.9104304,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36257562,0.9870983,5.0,0.0,0.0,-8.205882,0.5,0.0,0.0,-1.2199074,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-0.5
100994,0.0,0.0,0.0,0.0,1.0,7.0,4.0,3.0,2.0,8.0,3.0,5.0,2.0,0.0,4.0,0.0,-0.39,0.69675857,0.24750996,0.044969715,-0.5944681,-0.19222987,-0.0667337,-0.037611477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18122455,0.6318681,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.58410496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
316663,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,1.0,3.0,5.0,39.0,2.0,0.0,4.0,1.0,-0.14,-0.05177945,0.7320717,-0.044004932,0.3504885,-1.7029543,0.5228997,-0.64249706,0.0,1.0,0.0,0.0,1.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09525572,-0.34577125,0.8133801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4845679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168853,0.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,10.0,0.0,5.0,2.0,0.0,5.0,1.0,1.11,1.3171428,1.496514,-0.011577424,-0.46662998,0.27438283,-0.5547125,0.21558744,-2.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0418149,-0.4504347,7.0,0.0,0.0,-7.529412,0.5,0.0,0.0,-0.9529321,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5
109904,0.0,1.0,0.0,1.0,6.0,7.0,4.0,1.0,1.0,8.0,5.0,53.0,2.0,0.0,5.0,1.0,2.36,1.233985,0.53535855,-0.011577424,-0.2040732,-3.4479969,0.21848433,0.9654905,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2305982,-0.027427398,0.7795129,5.0,0.0,0.0,3.7941177,0.0,0.0,0.0,-0.8287037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
125421,0.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,8.0,1.0,50.0,3.0,0.0,4.0,1.0,0.11,-0.47817877,-0.8620518,1.4670097,-0.19953214,-0.46094698,-1.2412469,0.98100036,0.0,0.0,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37921986,0.0,-11.8,0.0,0.0,-3.8823528,0.0,0.0,0.0,0.15895061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269353,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,1.0,3.0,3.0,28.0,2.0,0.0,4.0,1.0,0.11,0.6223225,1.1770419,-0.0026263602,0.5990092,-0.19142048,0.6830606,0.09499806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.32921532,-1.112991,-1.9081341,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.51003087,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
441149,0.0,0.0,0.0,1.0,6.0,4.0,4.0,5.0,1.0,2.0,4.0,12.0,2.0,0.0,4.0,0.0,0.36,-0.66838765,-0.5433267,1.4670097,-1.2172836,-0.77822745,-1.0841942,-0.3039938,0.0,0.0,0.0,0.0,-1.0,-0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6747423,1.2953573,8.0,0.0,0.0,-5.9411764,3.0,3.0,2.0,-0.45679012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
